ruta,bytes_antes,bytes_despues,medidas_antes,medidas_despues
recorrido/nutricion/mitos/celiaquia.webp,209096,97070,1000x1000,900x900
recorrido/nutricion/mitos/chocolatenegro.webp,219726,95970,1000x1000,900x900
recorrido/nutricion/mitos/cuerpotoxinas.webp,214462,99222,1000x1000,900x900
recorrido/nutricion/mitos/edulcorantes.webp,206734,102962,1000x1000,900x900
recorrido/nutricion/mitos/frutanoche.webp,230566,110396,1000x1000,900x900
recorrido/nutricion/mitos/grasasaturada.webp,207178,96542,1000x1000,900x900
recorrido/nutricion/mitos/grasatoxinas.webp,224318,109920,1000x1000,900x900
recorrido/nutricion/mitos/pastafuera.webp,208314,100114,1000x1000,900x900
recorrido/nutricion/mitos/proteinadañariñones.webp,218418,112468,1000x1000,900x900
recorrido/nutricion/mitos/verdurascongeladas.webp,249882,118296,1000x1000,900x900
recorrido/nutricion/mitos/verduraspierdennutrientes.webp,209112,97994,1000x1000,900x900
recorrido/nutricion/moleculas/calcio.webp,225046,88514,1000x1000,900x900
recorrido/nutricion/portadas/agua.webp,271528,132408,1000x1000,900x900
recorrido/nutricion/portadas/alcohol.webp,250082,118552,1000x1000,900x900
recorrido/nutricion/portadas/carbs.webp,219746,107192,1000x1000,900x900
recorrido/nutricion/portadas/colesterolportada.webp,262924,128902,1000x1000,900x900
recorrido/nutricion/portadas/drogas.webp,244376,117758,1000x1000,900x900
recorrido/nutricion/portadas/edulcorantes.webp,231718,106740,1000x1000,900x900
recorrido/nutricion/portadas/fibra.webp,246100,126146,1000x1000,900x900
recorrido/nutricion/portadas/fitoquimico.webp,270868,135468,1000x1000,900x900
recorrido/nutricion/portadas/grasas.webp,248006,120616,1000x1000,900x900
recorrido/nutricion/portadas/minerales.webp,302608,155146,1000x1000,900x900
recorrido/nutricion/portadas/prote.webp,259968,126990,1000x1000,900x900
recorrido/nutricion/portadas/vitaminas.webp,258212,131462,1000x1000,900x900
recorrido/tcm/cincoanimales/ciervo.webp,218452,101996,1000x1000,900x900
recorrido/tcm/cincoanimales/grulla.webp,220776,99540,1000x1000,900x900
recorrido/tcm/cincoanimales/tigre.webp,214698,98936,1000x1000,900x900
recorrido/tcm/cocina/agua4.webp,206754,97352,1000x1000,900x900
recorrido/tcm/cocina/fuego2.webp,213184,104644,1000x1000,900x900
recorrido/tcm/cocina/fuego3.webp,235642,115432,1000x1000,900x900
recorrido/tcm/cocina/madera1.webp,235244,119904,1000x1000,900x900
recorrido/tcm/cocina/madera2.webp,214122,110718,1000x1000,900x900
recorrido/tcm/cocina/madera3.webp,232488,119778,1000x1000,900x900
recorrido/tcm/cocina/madera4.webp,215498,111888,1000x1000,900x900
recorrido/tcm/cocina/tierra1.webp,218696,106066,1000x1000,900x900
recorrido/tcm/cocina/tierra2.webp,214616,104982,1000x1000,900x900
recorrido/tcm/cocina/tierra3.webp,210484,96964,1000x1000,900x900
recorrido/tcm/cocina/tierra4.webp,228014,113562,1000x1000,900x900
recorrido/tcm/controlador/aguafuego.webp,241476,124188,1000x1000,900x900
recorrido/tcm/controlador/fuegometal.webp,217854,116240,1000x1000,900x900
recorrido/tcm/controlador/metalmadera.webp,258292,143754,1000x1000,900x900
recorrido/tcm/controlador/tierramadera.webp,213182,115904,1000x1000,900x900
recorrido/tcm/fuego/fuego5.webp,219878,108522,1000x1000,900x900
recorrido/tcm/generador/aguamadera.webp,283638,157226,1000x1000,900x900
recorrido/tcm/generador/maderafuego.webp,231008,124654,1000x1000,900x900
recorrido/tcm/generador/metalagua.webp,281632,151602,1000x1000,900x900
recorrido/tcm/generador/tierrametal.webp,210114,109438,1000x1000,900x900
recorrido/tcm/qigong/brocado-1-sostener-cielo.webp,238320,107390,1000x1000,900x900
recorrido/tcm/qigong/brocado-2-tensar-arco.webp,222496,98996,1000x1000,900x900
recorrido/tcm/qigong/brocado-3-separar-cielo-tierra.webp,237798,107946,1000x1000,900x900
recorrido/tcm/qigong/brocado-4-mirar-atras.webp,205540,85300,1000x1000,900x900
recorrido/tcm/qigong/brocado-5-cabeza-y-cadera.webp,209974,87508,1000x1000,900x900
recorrido/tcm/qigong/daoyin/mawangdui.webp,409064,217926,1000x1000,900x900
recorrido/tcm/qigong/historia/mawangdui.webp,238010,111854,1000x1000,900x900
recorrido/tcm/taoismo/de.webp,275358,138114,1000x1000,900x900
